,Année,Clé,Danceabilité,Durée,Energie,Fin du fondu,Fondu de fin,Intensité,Mode,Nom Album,Popularité,Signature Temporelle,Tempo,nom artiste,nom chanson
0,0,1,0.0,218.93179,0.0,0.247,218.932,-11.197,0,b'Fear Itself',0.4019975433642836,4,92.198,b'Casual',"b""I Didn't Mean To"""
1,1969,6,0.0,148.03546,0.0,0.148,137.915,-9.843,0,b'Dimensions',0.4174996449709784,4,121.274,b'The Box Tops',b'Soul Deep'
2,0,8,0.0,177.47546,0.0,0.282,172.304,-9.689,1,b'Las Numero 1 De La Sonora Santanera',0.34342837829688244,1,100.07,b'Sonora Santanera',b'Amor De Cabaret'
3,1982,0,0.0,233.40363,0.0,0.0,217.124,-9.013,1,b'Friend Or Foe',0.4542311565706205,4,119.293,b'Adam Ant',b'Something Girls'
4,2007,2,0.0,209.60608,0.0,0.066,198.699,-4.501,1,b'Muertos Vivos',0.40172368550367865,4,129.738,b'Gob',b'Face the Ashes'
5,0,5,0.0,267.7024,0.0,2.264,254.27,-9.323,1,b'Ordinary Day',0.385470550555821,3,147.782,b'Jeff And Sheri Easter',b'The Moon And I (Ordinary Day Album Version)'
6,0,1,0.0,114.78159,0.0,0.096,114.782,-17.302,1,b'Da Ghetto Psychic',0.2619411773808474,1,111.787,b'Rated R',b'Keepin It Real (Skit)'
7,0,4,0.0,189.57016,0.0,0.319,181.023,-11.642,0,b'Gin & Phonic',0.6055071356905752,3,101.43,b'Tweeterfriendly Music',b'Drop of Rain'
8,1984,4,0.0,269.81832,0.0,5.3,258.99,-13.496,1,b'Pink World',0.33227574659906806,4,86.643,b'Planet P Project',b'Pink World'
9,0,7,0.0,266.39628,0.0,0.084,261.747,-6.697,0,b'Superinstrumental',0.42270564102939107,4,114.041,b'Clp',b'Insatiable (Instrumental Version)'
10,0,5,0.0,218.77506,0.0,2.125,207.012,-10.021,0,b'I Need You',0.29626895431146333,1,146.765,b'JennyAnyKind',b'Young Boy Blues'
11,0,7,0.0,245.21098,0.0,0.357,227.48,-7.545,1,b'The Way Home',0.35155586118563925,4,117.975,b'Wayne Watson',b'The Urgency (LP Version)'
