,Année,Clé,Danceabilité,Durée,Energie,Fin du fondu,Fondu de fin,Intensité,Mode,Nom Album,Popularité,Signature Temporelle,Tempo,nom artiste,nom chanson
0,2007,11,0.0,164.62322,0.0,0.259,161.802,-4.444,1,b'Jonas Brothers',0.4266416713058206,5,149.022,b'Jonas Brothers',b'Hold On'
1,1978,4,0.0,244.29669,0.0,2.531,232.937,-14.536,1,b'Anthology',0.3377045724163188,3,90.972,b'Charley Pride',b'Where Do I Put Her Memory'
2,1985,0,0.0,272.95302,0.0,0.432,265.491,-16.766,1,b'Best Friends',0.44920576,4,115.985,b'Ella Fitzgerald',b'A Foggy Day'
3,2005,10,0.0,376.34567,0.0,0.374,366.782,-11.807,0,b'Tex Book Tenor',0.20521396091411206,4,123.704,b'Booker Ervin',"b""Lynn's Tune (2005 Digital Remaster)"""
4,2006,6,0.0,221.07383,0.0,0.096,207.911,-2.64,0,b'Sacrament',0.47019583251547237,1,130.871,b'Lamb of God',b'Redneck'
5,1981,10,0.0,213.10649,0.0,0.537,203.018,-8.902,0,b'Tattoo You',0.44680864,4,122.606,b'The Rolling Stones',b'Start Me Up'
6,1988,2,0.0,258.24608,0.0,0.269,251.902,-10.515,1,b'Antecedente',0.0,4,101.34,b'Rub\xc3\xa9n Blades',"b""Juana Mayo ( A Woman's Name ) ( LP Version )"""
7,0,1,0.0,354.32444,0.0,0.119,348.131,-7.061,1,b'',0.0,4,137.96,b'',b''
8,0,9,0.0,145.99791,0.0,0.496,141.102,-14.645,1,b'Leadbelly Vol. 7 (1947-1949)',0.22145325303876784,1,138.499,b'Leadbelly',"b""It Was Early One Mornin' (Jail House Blues)"""
9,2002,0,0.0,200.33261,0.0,0.496,197.033,-4.636,0,b'Baby One More Time',0.91427934,4,104.014,b'Britney Spears',b'You Drive Me Crazy'
10,0,6,0.0,266.91873,0.0,2.183,258.618,-13.879,0,b'Dominic Miller',0.36122929213783295,4,160.052,b'Dominic Miller',b'Shape Of My Heart'
11,1998,10,0.0,420.17914,0.0,6.101,411.4,-25.159,0,b'El Greco',0.4237816610565577,7,194.223,b'Vangelis',b'El Greco: Movement X'
12,2005,0,0.0,229.43302,0.0,0.189,210.942,-14.498,1,b'Pixel Revolt',0.2895581419927797,4,100.247,b'John Vanderslice',b'Angela'
13,0,2,0.0,138.89261,0.0,0.322,129.492,-7.052,1,b'The Greatest Hits Volume 1: 20 Good Vibrations',0.45927665073767027,1,139.041,b'The Beach Boys',b'Catch A Wave (Digitally Remastered 99)'
14,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,b'',0.0,0,0.0,b'',b''
15,2007,6,0.0,256.28689,0.0,0.154,247.879,-6.431,1,b'LP',0.3963155635280602,4,94.175,b'Holy Fuck',b'Echo Sam'
16,0,11,0.0,242.38975,0.0,0.096,231.062,-12.737,0,b'The Birds & The Sky',0.2861533423767388,4,105.131,b'Dao',b'After dawn'
17,0,8,0.0,758.30812,0.0,2.136,735.701,-24.55,1,b'',0.0,5,60.726,b'',b''
18,1967,7,0.0,191.08526,0.0,0.456,182.399,-15.013,1,b'Today I Started Loving You Again',0.4400895212872302,4,119.975,b'Merle Haggard',b'Branded Man'
19,0,8,0.0,281.25995,0.0,0.537,267.982,-10.323,1,b'',0.30724347524117385,4,98.975,b'Paul Brown',b'WINELIGHT (Radio Edit)'
20,0,9,0.0,170.97098,0.0,0.471,170.971,-12.21,1,b'Bing & His Gal Pals',0.345306277163536,4,82.425,b'Bing Crosby',b'When You Wore A Tulip (Bing and Judy Garland)'
21,1982,5,0.0,370.85995,0.0,0.287,355.66,-14.376,0,b'The Best Is Yet To Come',0.413394753958405,4,104.685,"b'Grover Washington, Jr.'",b'Brazilian Memories'
22,0,11,0.0,215.32689,0.0,0.369,206.872,-17.004,1,b'',0.3997720439789778,4,140.248,b'Alison Krauss & Union Station',b'TWO HIGHWAYS'
23,2003,0,0.0,225.54077,0.0,0.322,217.803,-9.182,1,b'Trozos De Mi Alma',0.38628980961569526,3,142.787,b'Marco Antonio Sol\xc3\xads',b'Mi Eterno Amor Secreto'
24,0,4,0.0,143.33342,0.0,0.485,137.317,-5.566,1,b'Best Of/20th Century - Christmas',0.4473962,4,131.648,b'Ringo Starr',b'Rudolph The Red-Nosed Reindeer'
25,0,1,0.0,144.27383,0.0,0.131,136.94,-8.144,0,b'Noonee',0.31341254193035156,4,122.855,b'Mauracher',b'Meilenstein (Unplugged Version)'
26,1992,4,0.0,269.06077,0.0,0.479,252.807,-11.65,1,b'Whitney The Greatest Hits',0.4696487835187687,4,134.72,b'Whitney Houston',b'I Will Always Love You'
27,0,8,0.0,148.16608,0.0,0.607,142.269,-13.664,1,b'',0.34649851465149917,5,131.437,b'',b''
28,1972,10,0.0,202.31791,0.0,0.34,192.731,-14.978,1,b'Round 2',0.35158473925898565,4,97.267,b'The Stylistics',"b""I'm Stone in Love With You"""
29,0,7,0.0,171.72853,0.0,0.445,157.704,-15.864,1,b'Christmas With The Rat Pack',0.4300457467258111,1,90.593,b'Frank Sinatra',b'It Came Upon A Midnight Clear (2002 Digital Remaster)'
